Rank,Summoner,Tier,LP,Most Champ,Wins,Losses,Win Ratio
1,Cupic Vtuber#Cupic,challenger,689,"['Seraphine', 'Sona', 'Hwei']",53,24,69
2,ttv Pentaless1#NA2,challenger,649,"['Nunu', 'Maokai', 'Syndra']",68,34,67
3,江多宝#0409,challenger,593,"['Kaisa', 'Viego', 'Ekko']",56,35,62
4,Zeus#WBJ,challenger,501,"['Fiora', 'Aatrox', 'Akali']",71,41,63
5,Spica#001,challenger,485,"['Lillia', 'Graves', 'LeeSin']",52,34,60
6,T0mio#NA1,grandmaster,514,"['LeeSin', 'Singed', 'Graves']",62,46,57
7,Solarbacca#NA1,grandmaster,499,"['Gangplank', 'Nautilus', 'Twitch']",61,39,61
8,Yuuji#247,grandmaster,495,"['Graves', 'Brand', 'Khazix']",57,31,65
9,Ilynav best girl#epic7,grandmaster,477,"['TwistedFate', 'Tristana', 'Ashe']",105,79,57
10,Pobelter#NA1,grandmaster,457,"['Corki', 'Azir', 'Akali']",57,35,62
11,sorde#NA1,grandmaster,446,"['Yasuo', 'Yone', 'Tryndamere']",52,35,60
12,Xueli#Mike,grandmaster,445,"['XinZhao', 'Khazix', 'Graves']",75,45,63
13,zzyy#NA1,grandmaster,431,"['Riven', 'Fiora', 'Yone']",62,43,59
14,Davemon#NA1,grandmaster,405,"['Pyke', 'Sylas', 'Akshan']",53,43,55
15,TwitchTv Sheiden#0001,grandmaster,394,"['XinZhao', 'Brand', 'Nocturne']",79,64,55
16,ScrubNoob#NA1,grandmaster,376,"['Rengar', 'Nocturne', 'Evelynn']",47,31,60
17,chenchen53#TTV,grandmaster,362,"['Akshan', 'Vladimir', 'Hwei']",73,60,55
18,PaIco#NA1,grandmaster,354,['Garen'],50,30,63
19,jamican banana#NA1,grandmaster,352,"['Ivern', 'XinZhao', 'Thresh']",82,68,55
20,twitch lolwenwin#UDYR,grandmaster,343,"['Udyr', 'XinZhao', 'Gragas']",76,51,60
21,小奶栗#sss,grandmaster,342,"['Khazix', 'Graves', 'Lucian']",81,65,55
22,Nikkone#NA1,grandmaster,337,"['Fiddlesticks', 'Khazix', 'Nocturne']",49,32,60
23,Josedeodo#NA1,grandmaster,335,"['Brand', 'XinZhao', 'Gragas']",32,17,65
24,Acce1#NA1,grandmaster,331,"['Jax', 'Renekton', 'Aatrox']",50,26,66
25,MunchyTheMonster#LCS,grandmaster,326,"['Rengar', 'Khazix', 'Viego']",38,15,72
